,RAJ2000,DEJ2000,Vmag,Per,logP,M,dist
122,210.72488,54.313056,24.679000000000002,17.82,1.250907699700856,-4.841254212154693,8017719.205495564
123,210.74425,54.32875,24.515,23.93,1.3789426986134374,-5.215724568822516,8833746.123957667
124,210.73031,54.311699,24.853,12.39,1.0930713063760635,-4.3796222286698265,7023028.741160942
125,210.7336,54.309171,24.515,19.59,1.2920344359947364,-4.961539632073883,7857925.85120735
126,210.70989,54.32494499999999,24.669,12.5,1.0969100130080565,-4.390849485699812,6485894.7540189
127,210.74509,54.323773,24.565,13.0,1.1139433523068367,-4.440667743962253,6326063.526412414
128,210.72963,54.310349,24.487,12.39,1.0930713063760635,-4.3796222286698265,5933684.43189976
129,210.7586,54.32771,24.013,19.59,1.2920344359947364,-4.961539632073883,6236026.13182532
130,210.72421,54.328611,25.241,7.6,0.8808135922807914,-3.758821489982565,6309054.775641678
131,210.72997,54.310585,24.584,19.59,1.2920344359947364,-4.961539632073883,8111626.146300484
132,210.73103,54.31570600000001,25.373,13.55,1.1319392952104246,-4.4933013770697245,9402866.614468517
133,210.73179,54.312167,25.335,8.39,0.9237619608287004,-3.884434728745643,6980506.659453592
134,210.7434,54.32394,25.33,11.46,1.0591846176313713,-4.280512137458122,8358001.167864348
135,210.70746,54.322811,25.426,14.55,1.162862993321926,-4.583745461575154,10044980.368438885
136,210.72994,54.312302,25.811,5.58,0.7466341989375788,-3.3663803160109733,6846617.458826067
137,210.7338,54.310378,25.611,7.64,0.8830933585756899,-3.7654892363395813,7504086.771842257
138,210.73696,54.311188,25.603,6.25,0.7958800173440752,-3.5104120209330834,6647868.255200039
139,210.72991,54.307498,25.558000000000003,6.7,0.8260748027008264,-3.5987242178955015,6781797.9011695385
140,210.73092000000003,54.311469,25.565,7.11,0.8518696007297664,-3.6741675521409043,7044229.721397296
141,210.74096,54.326829,25.241,8.26,0.9169800473203822,-3.864599327551285,6623993.010373714
142,210.74427000000003,54.32561,25.174,7.19,0.8567288903828826,-3.688379759310891,5922102.935765195
143,210.71233,54.32702800000001,25.070999999999998,8.39,0.9237619608287004,-3.884434728745643,6181401.393988602
144,210.7092,54.324437,25.324,11.4,1.0569048513364727,-4.273844391101106,8309384.93404566
145,210.72123,54.365547,24.851,17.82,1.250907699700856,-4.841254212154693,8678623.388408864
146,210.7104,54.36144399999999,24.95,13.96,1.1448854182871424,-4.531165549891049,7874683.542961677
147,210.71875,54.364847,25.099,8.91,0.9498777040368748,-3.9608167473879643,6485796.9698409755
148,210.69195,54.37046,25.154,7.96,0.9009130677376692,-3.817607429820095,6227611.127437342
149,210.7082,54.343172,25.4,7.21,0.8579352647194289,-3.6919081025913867,6582359.842935346
150,210.71393,54.355155,25.335,8.3,0.9190780923760741,-3.8707355847230183,6936607.433017389
151,210.70774,54.360726,25.096,6.78,0.8312296938670634,-3.6138009855762085,5520268.439619736
152,210.71107,54.36895500000001,25.616999999999997,7.0,0.8450980400142568,-3.6543624302767954,7149447.576878594
153,210.70822,54.345719,25.206,13.55,1.1319392952104246,-4.4933013770697245,8706834.218721857
154,210.70663,54.34255400000001,25.108,7.64,0.8830933585756899,-3.7654892363395813,5952478.662199595
155,210.71094,54.35156,25.53,7.11,0.8518696007297664,-3.6741675521409043,6931600.277387587
156,210.69851,54.351998,25.429000000000002,9.82,0.9921114877869496,-4.084340004299306,7992230.503444362
157,210.69698,54.369992,25.355999999999998,4.88,0.6884198220027106,-3.1961178199814366,5133618.176648666
158,210.71811,54.340752,25.018,8.87,0.9479236198317263,-3.9551015397066607,6231897.590931392
159,210.70527,54.357174,25.375,11.46,1.0591846176313713,-4.280512137458122,8533013.39714762
160,210.72002,54.363296,25.278000000000002,8.43,0.9258275746247424,-3.8904761325923367,6818600.194270498
161,210.71651,54.342303,26.035,6.61,0.8202014594856403,-3.5815461576205534,8381258.420506605
162,210.70153,54.326712,24.824,16.6,1.2201080880400552,-4.751173049489747,8223081.789126722
163,210.70539,54.337324,24.485,26.73,1.4269989587565373,-5.356277113273234,9295129.027038362
164,210.71292000000003,54.337473,25.513,11.97,1.0780941504064108,-4.335817792496442,9327463.505445516
165,210.70145,54.33809100000001,24.49,17.74,1.2489536154957075,-4.8355390044733895,7330064.579595715
166,210.67729,54.34377900000001,25.374000000000002,6.78,0.8312296938670634,-3.6138009855762085,6274226.563717076
167,210.71313,54.339239,25.078000000000003,10.42,1.0178677189635057,-4.159670540145127,7039375.106518549
168,210.68256,54.335558,24.964000000000002,7.6,0.8808135922807914,-3.758821489982565,5553468.310249497
169,210.70181,54.327808,25.893,6.97,0.8432327780980093,-3.648907005580514,8098067.661931368
170,210.71377,54.337357,25.864,8.32,0.920123326290724,-3.873792632562629,8862546.493053092
171,210.67506,54.345012,25.944000000000003,4.75,0.6766936096248666,-3.161821580915648,6624671.020404756
172,210.70352000000003,54.325799,25.46,8.91,0.9498777040368748,-3.9608167473879643,7658846.219173737
